Price,Close,High,Low,Open,Volume,EMA_20,EMA_30
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,
2024-01-02,138.42355346679688,139.46997041859981,136.61838168845557,138.46323622012164,20071900,138.42355346679688,138.42355346679688
2024-01-03,139.21702575683594,139.94107700762862,137.30273419820398,137.47136317829077,18974300,138.4991222563244,138.47474522744457
2024-01-04,136.91592407226562,139.48979401852648,136.88616957510365,138.71119783007381,18253300,138.34834147689023,138.37417612065883
2024-01-05,136.27120971679688,137.67964460388802,135.7356136860292,137.22538155990568,15439500,138.1505194045004,138.23850086879676
2024-01-08,139.38563537597656,139.49474022973578,136.75722090068695,136.87623887404837,17645300,138.26814949702194,138.31250954667934
2024-01-09,141.3991241455078,141.63717526156202,138.65167616070894,138.91948177445292,19579700,138.5663375587825,138.5116459724102
2024-01-10,142.62904357910156,143.34813084330514,141.29995879456197,141.35946779468506,16641900,138.95326194167004,138.77728452768062
2024-01-11,142.50009155273438,145.46574939326712,141.05693782003317,143.71512241602125,17471100,139.29105523796187,139.01746562607119
2024-01-12,143.06544494628906,143.56137339712745,142.19260602976223,143.16462155573558,13998700,139.65052092446922,139.2786255822143
2024-01-16,142.90676879882812,144.65243179771213,141.89110509845526,142.2620526210847,19198900,139.96063976964626,139.51269933812486
2024-01-17,141.7264404296875,142.24221028663283,139.36581602149167,141.74628180656052,17884500,140.12881126107877,139.65552134403214
2024-01-18,143.80934143066406,144.3994975135521,142.18269667422152,142.2719601654477,18876800,140.4793379438964,139.92350973671807
2024-01-19,146.76504516601562,146.83446726886962,144.61271782501353,145.1135951945259,27181000,141.07797672695537,140.3648991192534
2024-01-22,146.50718688964844,148.79340974105023,146.37824065176983,147.49904377293632,21829200,141.59504436149757,140.7611757496015
2024-01-23,147.46929931640625,147.64784145583428,145.99144199413212,146.51712502124857,14113600,142.15449721434604,141.19395791520182
2024-01-24,149.1256866455078,150.33575323918956,148.61982995507057,149.06616252022388,19245000,142.81842001731383,141.7056823494151
2024-01-25,152.388916015625,153.4997910646293,149.98862377929075,150.5043936811302,21495100,143.7298958266768,142.39492323110608
2024-01-26,152.5376739501953,152.8550754393321,151.5557452540674,151.62516737073108,19494500,144.56873183844047,143.0492942452409
2024-01-29,153.5791473388672,153.9362164946854,151.67478355268278,152.38892186431917,20909300,145.42686664800493,143.72863960612003
2024-01-30,151.8037109375,153.77749660417098,151.53094119245023,152.75588514490505,26578900,146.03418515176637,144.24961195008004
2024-01-31,140.64529418945312,144.40442472000493,140.39732999487882,144.20605639125216,43908600,145.52095744106987,144.01707532036218
2024-02-01,141.54791259765625,143.44234787799212,141.10156486062297,142.5199281751336,25526900,145.14257221788762,143.85777449954244
2024-02-02,142.3711395263672,142.70838239062573,137.0448725635355,139.74272467038818,42136100,144.87862624726662,143.76186256578922
2024-02-05,143.7498321533203,145.47566883467402,142.73814887916484,142.86708000163335,29254400,144.77112204784316,143.76108641014605
2024-02-06,144.2259063720703,145.54507778207943,143.3431543920834,144.77143065959805,21517700,144.71919674538861,143.79107479478634
2024-02-07,145.4855499267578,145.80295137118972,144.02753433681707,144.93011253353583,21436100,144.79218276266187,143.90039577104258
2024-02-08,146.02114868164062,146.40797220011234,145.2276602724715,145.77318449968357,18241300,144.90922713589794,144.03721853946826
2024-02-09,148.9967498779297,149.4678879755258,146.22946055595543,146.74523039944975,21877700,145.29851501609141,144.35718830323998
2024-02-12,147.51889038085938,149.36374504386518,147.35027650356503,148.32229214571822,17236100,145.50997933654548,144.56116908244124
2024-02-13,145.1781005859375,146.83449991802306,143.92836624588574,144.8805556010702,18138500,145.47837183648758,144.60097111492487
2024-02-14,145.9418182373047,146.62620189439806,144.36971845002967,146.1699410781576,16651800,145.52250958894638,144.68747738088487
2024-02-15,142.7678985595703,143.5812134270935,140.72467556742123,143.28366843564396,26724300,145.26016568138675,144.56363358596138
2024-02-16,140.6056365966797,143.30348872704405,140.36760061340618,143.03569824586134,21865100,144.81687719712895,144.3082789414916
2024-02-20,141.04205322265625,142.16185752363302,139.65345956655923,139.79231893216894,18625600,144.4573701519411,144.09755470156676
2024-02-21,142.668701171875,142.8075605405799,140.75442450797598,141.4784758494705,16440800,144.28702072526812,144.00537060287698
2024-02-22,144.1366424560547,145.00946617894317,142.8372972898335,144.93011581603798,23024700,144.27269898534303,144.0138397546949
2024-02-23,144.1068878173828,144.76648115628487,143.61095934853918,143.7895014672815,14519400,144.25690744553728,144.0198428555135
2024-02-26,137.62013244628906,142.6686799790576,137.61021932661703,142.28185642837371,33513000,143.62483363608507,143.6069583129829
2024-02-27,138.95916748046875,139.3459910931915,137.37219027545763,138.2747837499894,22364000,143.18048447840732,143.3071008399175
2024-02-28,136.31088256835938,138.1458238342153,135.52732229916919,137.96729686194465,30628700,142.52623667745038,142.85573191917183
2024-02-29,138.64175415039062,138.81036800466705,136.44975891026198,137.22340606966443,35485000,142.15628596058755,142.5838623857021
2024-03-01,136.95558166503906,138.8599448062378,136.8514409441036,138.47312127965887,28551500,141.66098078958294,142.22074750049805
2024-03-04,133.107177734375,135.51739759576247,131.7780932726234,135.4281189827233,43571500,140.84633287956314,141.63277525752238
2024-03-05,132.6905975341797,132.92864860750913,130.47876117384314,131.65907315215185,28447600,140.0695961800028,141.05586056569382
2024-03-06,131.4805450439453,133.6428009033024,130.87551174428256,133.14687246536687,23175200,139.2515913099021,140.4380982739681
2024-03-07,134.1387481689453,134.71402705384082,131.57975525387363,132.7997351447616,24107300,138.76465386790622,140.0316885897731
