,Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG
0,2024-01-02,138.73532104492188,139.78409481296455,136.92608352762693,138.77509317462506,20071900
1,2024-01-03,139.53060913085938,140.25629129161408,137.6120056714196,137.78101448467874,18974300
2,2024-01-04,137.22430419921875,139.80397135530865,137.1944826850485,139.02362150968963,18253300
3,2024-01-05,136.57815551757812,137.98976285155052,136.04135307679252,137.53447659705958,15439500
4,2024-01-08,139.69960021972656,139.80895083115135,137.0652652653444,137.18455132558086,17645300
5,2024-01-09,141.71759033203125,141.95617759872704,138.9639544073305,139.23236318628543,19579700
6,2024-01-10,142.95028686523438,143.67099372913498,141.61820858404766,141.6778516162464,16641900
7,2024-01-11,142.821044921875,145.79338232215585,141.37464076983966,144.03881240269615,17471100
8,2024-01-12,143.38768005371094,143.88472551472387,142.51287518836864,143.48708004473932,13998700
9,2024-01-16,143.22862243652344,144.978217005557,142.21067126537935,142.58245423345727,19198900
10,2024-01-17,142.045654296875,142.56258583466206,139.67971299760342,142.0655403629579,17884500
11,2024-01-18,144.13323974609375,144.72472502331078,142.50293133685108,142.59239587408825,18876800
12,2024-01-19,147.09564208984375,147.16522057008055,144.9384665045121,145.44047212985262,27181000
13,2024-01-22,146.83718872070312,149.12856120157483,146.70795203635896,147.8312797236583,21829200
14,2024-01-23,147.80145263671875,147.98039691655634,146.32026665404672,146.8471337063379,14113600
15,2024-01-24,149.4615936279297,150.67438590775683,148.95459749063895,149.40193542400542,19245000
16,2024-01-25,152.73214721679688,153.8455243308292,150.32644871333386,150.84338030283124,21495100
17,2024-01-26,152.88125610351562,153.19937252086837,151.8971156706601,151.96669415656496,19494500
18,2024-01-29,153.92506408691406,154.28293749385196,152.01641097278747,152.73215778666327,20909300
19,2024-01-30,152.14564514160156,154.1238767129664,151.8722609892682,153.09996409848452,26578900
20,2024-01-31,140.9621124267578,144.72971079205197,140.71358966689704,144.53089561788846,43908600
21,2024-02-01,141.86672973632812,143.7654319706896,141.41937666261583,142.8409346447498,25526900
22,2024-02-02,142.69180297851562,143.02980541709115,137.35353962963936,140.0574681265023,42136100
23,2024-02-05,144.0736083984375,145.80333228377611,143.05964645023528,143.18886797189305,29254400
24,2024-02-06,144.55076599121094,145.87290875035293,143.66602566891277,145.09751903726573,21517700
25,2024-02-07,145.81326293945312,146.13137934549903,144.35196310113326,145.25657439749793,21436100
26,2024-02-08,146.35006713867188,146.73776199253567,145.55479136523687,146.10154440751242,18241300
27,2024-02-09,149.33233642578125,149.8045356714082,146.55881431637218,147.07574583232852,21877700
28,2024-02-12,147.8511505126953,149.70016038356613,147.68215686255323,148.65636179751206,17236100
29,2024-02-13,145.50509643554688,147.16522660378953,144.25254722231065,145.20688126712756,18138500
30,2024-02-14,146.27053833007812,146.9564634963974,144.69489753725608,146.49917499597663,16651800
31,2024-02-15,143.08946228027344,143.90460902007,141.04163722845823,143.60639385223286,26724300
32,2024-02-16,140.92233276367188,143.62626146002236,140.6837606348687,143.35786781511877,21865100
33,2024-02-20,141.35971069335938,142.4820370378955,139.9679896214417,140.10716172863346,18625600
34,2024-02-21,142.9900360107422,143.12920813446976,141.07144779302453,141.79712992613094,16440800
35,2024-02-22,144.4613037109375,145.33609342970553,143.15903182861547,145.25656433370406,23024700
36,2024-02-23,144.4314727783203,145.09255177888215,143.93442728498795,144.11337155027243,14519400
37,2024-02-26,137.9301300048828,142.99004969215943,137.9201945553173,142.60235479835018,33513000
38,2024-02-27,139.27215576171875,139.65985064662803,137.681604087482,138.58623054181194,22364000
39,2024-02-28,136.617919921875,138.4569943537666,135.83259469990304,138.27806525330146,30628700
40,2024-02-29,138.9540252685547,139.1230189019037,136.757092866394,137.53248255758288,35485000
41,2024-03-01,137.2640838623047,139.17273671704638,137.15970855698177,138.78504184293672,28551500
42,2024-03-04,133.40699768066406,135.8226464903749,132.07491949581865,135.7331667799237,43571500
43,2024-03-05,132.98948669433594,133.22807398414722,130.77266811276874,131.9556387757354,28447600
44,2024-03-06,131.7766876220703,133.94381367742895,131.17029156473757,133.44676822612746,23175200
